source_token,source_lemma,target_rendering,block_id
དེ་ལྟར,དེ་ལྟར,Thus,1-16
འགྲོ་བའི་བླ་མ,འགྲོ་བའི་བླ་མ,Guru_of_beings,1-16
ཤཱཀྱའི་རིགས,ཤཱཀྱའི་རིགས,Śākya_lineage,1-16
བུ་རམ་ཤིང་པའི་གདུང་རྒྱུད,བུ་རམ་ཤིང་པའི་གདུང་རྒྱུད,royal_line_of_the_Ikṣvāku,1-16
ལས,ལས,from,1-16
འཁྲུངས་པ,འཁྲུངས་པ,Born,1-16
བཅོམ་ལྡན,བཅོམ་ལྡན,Bhagavan,1-16
རྫོགས་པའི་སངས་རྒྱས,རྫོགས་པའི་སངས་རྒྱས,Perfect_Buddha,1-16
བསྟོད་པ་ཡིས,བསྟོད་པ་ཡིས,By_this_praise,1-16
འགྲོ་བས,འགྲོ་བས,beings,1-16
ཀུན་མཁྱེན,ཀུན་མཁྱེན,omniscience,1-16
མྱུར་དུ,མྱུར་དུ,swiftly,1-16
ཐོབ་པར་ཤོག,ཐོབ་པར་ཤོག,May_attain,1-16
ཆོས་སྐུ,ཆོས་སྐུ,Dharmakāya,2-1
ཤེར་ཕྱིན,ཤེར་ཕྱིན,Prajñāpāramitā,2-1
བཅོམ་ལྡན,བཅོམ་ལྡན,Bhagavatī,2-1
ཀུན་བཟང་མོ,ཀུན་བཟང་མོ,Samantabhadrī,2-1
ལོངས་སྤྱོད་ཡོངས་རྫོགས,ལོངས་སྤྱོད་ཡོངས་རྫོགས,Complete_Sambhogakāya,2-1
བཛྲ་ཝཱ་ར་ཧི,བཛྲ་ཝཱ་ར་ཧི,Vajravārāhī,2-1
སྤྲུལ་པའི་རྣམ་རོལ,སྤྲུལ་པའི་རྣམ་རོལ,Emanation-display,2-1
རྗེ་བཙུན་སྒྲོལ་མ,རྗེ་བཙུན་སྒྲོལ་མ,Venerable_Tārā,2-1
ཡུམ,ཡུམ,Mother,2-1
གསོལ་བ་འདེབས་སོ,གསོལ་བ་འདེབས་སོ,I_pray_to_you,2-1
མཆོག་ཐུན,མཆོག་ཐུན,supreme_and_ordinary,2-1
དངོས་གྲུབ,དངོས་གྲུབ,accomplishments,2-1
སྩོལ,སྩོལ,grant,2-1
སངས་རྒྱས་གཉིས་པ,སངས་རྒྱས་གཉིས་པ,second_Buddha,2-2
པདྨ་ཀཱ་ར,པདྨ་ཀཱ་ར,Padmākara,2-2
གསང་སྔགས་མཛོད་འཛིན,གསང་སྔགས་མཛོད་འཛིན,holder_of_the_secret_mantra_treasury,2-2
ཌཱ་ཀི་འབུམ་གྱི་རྗེ,ཌཱ་ཀི་འབུམ་གྱི་རྗེ,Lord_of_a_hundred_thousand_ḍākinīs,2-2
བྱང་ཆུབ་སེམས་དཔའ,བྱང་ཆུབ་སེམས་དཔའ,Bodhisattva,2-2
ལྷ་སྲས,ལྷ་སྲས,Prince,2-2
རོལ་པ་རྩལ,རོལ་པ་རྩལ,Rolpa_Tsal,2-2
གསོལ་བ་འདེབས་སོ,གསོལ་བ་འདེབས་སོ,I_pray_to_you,2-2
མཆོག་ཐུན,མཆོག་ཐུན,supreme_and_ordinary,2-2
དངོས་གྲུབ,དངོས་གྲུབ,accomplishments,2-2
སྩོལ,སྩོལ,grant,2-2
ཟབ་གཏེར,ཟབ་གཏེར,profound_treasures,2-3
སྒོ་འབྱེད,སྒོ་འབྱེད,who_opened_the_door,2-3
མཆོག་གྱུར་བདེ་ཆེན་གླིང,མཆོག་གྱུར་བདེ་ཆེན་གླིང,Chokgyur_Dechen_Lingpa,2-3
བཀའ་བབས་བདུན་ལྡན,བཀའ་བབས་བདུན་ལྡན,endowed_with_the_seven_authoritative_transmissions,2-3
རྡོ་རྗེ་གཟི་བརྗིད་རྩལ,རྡོ་རྗེ་གཟི་བརྗིད་རྩལ,Dorje_Ziji_Tsal,2-3
རྒྱལ་བསྟན,རྒྱལ་བསྟན,Buddha's_teachings,2-3
གསལ་མཛད,གསལ་མཛད,who_clarified,2-3
པདྨ་གར་གྱི་དབང,པདྨ་གར་གྱི་དབང,Pema_Garwang,2-3
གསོལ་བ་འདེབས་སོ,གསོལ་བ་འདེབས་སོ,I_pray_to_you,2-3
མཆོག་ཐུན,མཆོག་ཐུན,supreme_and_ordinary,2-3
དངོས་གྲུབ,དངོས་གྲུབ,accomplishments,2-3
སྩོལ,སྩོལ,grant,2-3
གཞན་ཡང,གཞན་ཡང,Moreover,2-5
ཟབ་རྒྱས,ཟབ་རྒྱས,profound_and_vast,2-5
སྨིན་གྲོལ,སྨིན་གྲོལ,ripening_and_liberation,2-5
མཛོད་འཛིན་པའི,མཛོད་འཛིན་པའི,holders_of_the_treasury,2-5
རྩ་བརྒྱུད་བླ་མ,རྩ་བརྒྱུད་བླ་མ,root_and_lineage_gurus,2-5
འཕགས་མ,འཕགས་མ,Noble_Goddess,2-5
མྱུར་མཛད་ལྷ,མྱུར་མཛད་ལྷ,Swift_One,2-5
རྩ་གསུམ,རྩ་གསུམ,Three_Roots,2-5
རྡོ་རྗེའི་ཆོས་སྲུང,རྡོ་རྗེའི་ཆོས་སྲུང,Vajra_Dharma_protectors,2-5
རྒྱ་མཚོ,རྒྱ་མཚོ,ocean,2-5
གསོལ་བ་འདེབས་སོ,གསོལ་བ་འདེབས་སོ,I_pray_to_you,2-5
མཆོག་ཐུན,མཆོག་ཐུན,supreme_and_ordinary,2-5
དངོས་གྲུབ,དངོས་གྲུབ,accomplishments,2-5
སྩོལ,སྩོལ,grant,2-5
ངེས་པར་འབྱུང་བས,ངེས་པར་འབྱུང་བས,spirit_of_renunciation,2-6
བློ་རྒྱུད་ཞིང་ས,བློ་རྒྱུད་ཞིང་ས,field_of_my_mind,2-6
བརླན,བརླན,be_moistened,2-6
ལྷག་བསམ་དག་པས,ལྷག་བསམ་དག་པས,pure_altruistic_intention,2-6
ལྗོན་འཁྲུངས,ལྗོན་འཁྲུངས,sprouts,2-6
ཚར་དུ,ཚར་དུ,in_lush_rows,2-6
དངར,དངར,grow,2-6
ཡེ་ཤེས་ཆེན་པོའི་འབྲས་བུ,ཡེ་ཤེས་ཆེན་པོའི་འབྲས་བུ,abundant_fruit_of_great_primordial_wisdom,2-6
གཡུར་ཟ་བས,གཡུར་ཟ་བས,bearing,2-6
དོན་གཉིས,དོན་གཉིས,twofold_benefit,2-6
ལྷུན་གྱིས་གྲུབ་པར,ལྷུན་གྱིས་གྲུབ་པར,spontaneous_accomplishment,2-6
མཛད་དུ་གསོལ,མཛད་དུ་གསོལ,I_pray_that_you_grant,2-6
ན་མོ,ན་མོ,Namo,4-1
གུ་རུ,གུ་རུ,guru,4-1
ཨཱརྻ་ཏཱ་རེ་ཡེ,ཨཱརྻ་ཏཱ་རེ་ཡེ,ārya-tārāye,4-1
ཕྱག་འཚལ་བ,ཕྱག་འཚལ་བ,I_prostrate,4-34
མཆོད་ཅིང,མཆོད་ཅིང,make_offerings,4-34
བཤགས་པ,བཤགས་པ,confess,4-34
དང་,དང་,and,4-34
རྗེས་སུ་ཡི་རང,རྗེས་སུ་ཡི་རང,I_rejoice,4-34
བསྐུལ་ཞིང,བསྐུལ་ཞིང,exhort,4-34
གསོལ་བ་ཡི,གསོལ་བ་ཡི,and_pray,4-34
དགེ་བ,དགེ་བ,virtue,4-34
ཅུང་ཟད,ཅུང་ཟད,slight,4-34
བདག་གིས,བདག་གིས,I,4-34
ཅི་བསགས་པ,ཅི་བསགས་པ,have_accumulated,4-34
ཐམས་ཅད,ཐམས་ཅད,it_all,4-34
བདག་གིས,བདག་གིས,I,4-34
བྱང་ཆུབ་ཕྱིར,བྱང་ཆུབ་ཕྱིར,for_the_sake_of_enlightenment,4-34
བསྔོའོ,བསྔོའོ,dedicate,4-34
ཕྱག་འཚལ,ཕྱག་འཚལ,Homage,4-56
ཏཱ་རེ,ཏཱ་རེ,Tāre,4-56
མྱུར་མ,མྱུར་མ,swift,4-56
དཔའ་མོ,དཔའ་མོ,heroic,4-56
ཏུཏྟཱ་རེ་ཡིས,ཏུཏྟཱ་རེ་ཡིས,To_Tuttāre,4-56
འཇིགས་པ,འཇིགས་པ,fears,4-56
སེལ་མ,སེལ་མ,she_who_dispels,4-56
ཏུ་རེས,ཏུ་རེས,To_Ture,4-56
དོན་ཀུན,དོན་ཀུན,all_benefits,4-56
སྦྱིན་པས,སྦྱིན་པས,who_grants,4-56
སྒྲོལ་མ,སྒྲོལ་མ,liberatress,4-56
སྭཱ་ཧཱའི་ཡི་གེ,སྭཱ་ཧཱའི་ཡི་གེ,syllables_of_Svāhā,4-56
ཁྱོད་ལ,ཁྱོད་ལ,to_you,4-56
འདུད་དོ,འདུད་དོ,I_bow,4-56
ཕྱག་འཚལ,ཕྱག་འཚལ,Homage,4-57
སྒྲོལ་མ,སྒྲོལ་མ,Tārā,4-57
མྱུར་མ,མྱུར་མ,swift,4-57
དཔའ་མོ,དཔའ་མོ,heroic,4-57
སྤྱན,སྤྱན,eyes,4-57
སྐད་ཅིག,སྐད་ཅིག,momentary,4-57
གློག,གློག,lightning,4-57
དང་འདྲ་མ,དང་འདྲ་མ,like,4-57
འཇིག་རྟེན་གསུམ་མགོན,འཇིག་རྟེན་གསུམ་མགོན,Lord_of_the_Three_Worlds,4-57
ཆུ་སྐྱེས་ཞལ་གྱི,ཆུ་སྐྱེས་ཞལ་གྱི,of_the_lotus-face,4-57
གེ་སར་བྱེ་བ,གེ་སར་བྱེ་བ,opening_stamens,4-57
ལས,ལས,from,4-57
བྱུང་མ,བྱུང་མ,she_who_arose,4-57
ཕྱག་འཚལ,ཕྱག་འཚལ,Homage,4-58
སྟོན་ཀའི་ཟླ་བ,སྟོན་ཀའི་ཟླ་བ,autumn_moons,4-58
ཀུན་ཏུ,ཀུན་ཏུ,gathered_together,4-58
གང་བ,གང་བ,full,4-58
བརྒྱ,བརྒྱ,hundred,4-58
བརྩེགས་པའི,བརྩེགས་པའི,gathered,4-58
ཞལ་མ,ཞལ་མ,face,4-58
སྐར་མ,སྐར་མ,stars,4-58
སྟོང་ཕྲག,སྟོང་ཕྲག,thousand,4-58
ཚོགས་པ་རྣམས་ཀྱིས,ཚོགས་པ་རྣམས་ཀྱིས,gathered,4-58
རབ་ཏུ་ཕྱེ་བའི,རབ་ཏུ་ཕྱེ་བའི,brilliant,4-58
འོད་རབ,འོད་རབ,light,4-58
འབར་མ,འབར་མ,Blazing_with,4-58
ཕྱག་འཚལ,ཕྱག་འཚལ,Homage,4-59
གསེར་སྔོ,གསེར་སྔོ,gold_and_blue,4-59
ཆུ་ནས་སྐྱེས,ཆུ་ནས་སྐྱེས,water-born_lotus,4-59
པདྨས,པདྨས,with_a_lotus,4-59
ཕྱག,ཕྱག,hand,4-59
རྣམ་པར་བརྒྱན་མ,རྣམ་པར་བརྒྱན་མ,beautifully_adorned,4-59
སྦྱིན་པ,སྦྱིན་པ,generosity,4-59
བརྩོན་འགྲུས,བརྩོན་འགྲུས,diligence,4-59
དཀའ་ཐུབ,དཀའ་ཐུབ,austerity,4-59
ཞི་བ,ཞི་བ,peace,4-59
བཟོད་པ,བཟོད་པ,Patience,4-59
བསམ་གཏན,བསམ་གཏན,meditative_concentration,4-59
སྤྱོད་ཡུལ་ཉིད་མ,སྤྱོད་ཡུལ་ཉིད་མ,sphere_of_activity,4-59
ཕྱག་འཚལ,ཕྱག་འཚལ,Homage,4-60
དེ་བཞིན་གཤེགས་པའི,དེ་བཞིན་གཤེགས་པའི,of_the_Tathāgatas,4-60
གཙུག་ཏོར,གཙུག་ཏོར,Uṣṇīṣa,4-60
མཐའ་ཡས,མཐའ་ཡས,infinite,4-60
རྣམ་པར་རྒྱལ་བ,རྣམ་པར་རྒྱལ་བ,complete_victory,4-60
སྤྱོད་མ,སྤྱོད་མ,she_who_acts_with,4-60
མ་ལུས,མ་ལུས,without_exception,4-60
ཕ་རོལ་ཕྱིན་པ,ཕ་རོལ་ཕྱིན་པ,every_single_perfection,4-60
ཐོབ་པའི,ཐོབ་པའི,Having_attained,4-60
རྒྱལ་བའི་སྲས་ཀྱིས,རྒྱལ་བའི་སྲས་ཀྱིས,by_the_Victors'_heirs,4-60
ཤིན་ཏུ,ཤིན་ཏུ,deeply,4-60
བསྟེན་མ,བསྟེན་མ,relied_upon,4-60
ཕྱག་འཚལ,ཕྱག་འཚལ,Homage,4-61
ཏུཏྟཱ་ར,ཏུཏྟཱ་ར,TUTTĀRA,4-61
ཧཱུཾ,ཧཱུཾ,HŪṂ,4-61
ཡི་གེས,ཡི་གེས,with_the_syllables,4-61
འདོད,འདོད,realms_of_desire,4-61
དང་,དང་,and,4-61
ཕྱོགས,ཕྱོགས,directions,4-61
དང་,དང་,and,4-61
ནམ་མཁའ,ནམ་མཁའ,space,4-61
གང་མ,གང་མ,Fills,4-61
འཇིག་རྟེན་བདུན་པོ,འཇིག་རྟེན་བདུན་པོ,seven_worlds,4-61
ཞབས་ཀྱིས,ཞབས་ཀྱིས,under_her_feet,4-61
མནན་ཏེ,མནན་ཏེ,Trampling,4-61
ལུས་པ་མེད་པར,ལུས་པ་མེད་པར,all_without_exception,4-61
འགུགས་པར,འགུགས་པར,to_summon,4-61
ནུས་མ,ནུས་མ,is_able,4-61
ཕྱག་འཚལ,ཕྱག་འཚལ,Homage,4-62
བརྒྱ་བྱིན,བརྒྱ་བྱིན,Indra,4-62
མེ་ལྷ,མེ་ལྷ,Agni,4-62
ཚངས་པ,ཚངས་པ,Brahmā,4-62
རླུང་ལྷ,རླུང་ལྷ,Vāyu,4-62
སྣ་ཚོགས་དབང་ཕྱུག,སྣ་ཚོགས་དབང་ཕྱུག,various_Īśvaras,4-62
མཆོད་མ,མཆོད་མ,worship,4-62
འབྱུང་པོ,འབྱུང་པོ,spirits,4-62
རོ་ལངས,རོ་ལངས,zombies,4-62
དྲི་ཟ་རྣམས,དྲི་ཟ་རྣམས,gandharvas,4-62
དང་,དང་,and,4-62
གནོད་སྦྱིན་ཚོགས་ཀྱིས,གནོད་སྦྱིན་ཚོགས་ཀྱིས,hosts_of_yakṣas,4-62
མདུན་ནས,མདུན་ནས,from_before_you,4-62
བསྟོད་མ,བསྟོད་མ,praise,4-62
ཕྱག་འཚལ,ཕྱག་འཚལ,Homage,4-63
ཏྲཊ,ཏྲཊ,TRAṬ,4-63
དང་,དང་,and,4-63
ཕཊ,ཕཊ,PHAṬ,4-63
ཀྱིས,ཀྱིས,with_the_syllables,4-63
ཕ་རོལ,ཕ་རོལ,adversaries,4-63
འཕྲུལ་འཁོར,འཕྲུལ་འཁོར,magical_wheels,4-63
རབ་ཏུ,རབ་ཏུ,Completely,4-63
འཇོམས་མ,འཇོམས་མ,shatter,4-63
